"PID","banditTrial","choice","cue","feedback","condition","block"
2794,52,1,1,0,"NonInfo","4"
2794,53,0,1,116,"NonInfo","4"
2794,54,0,2,0,"NonInfo","4"
2794,55,0,1,113,"NonInfo","4"
2794,56,0,2,0,"NonInfo","4"
2794,57,0,2,0,"NonInfo","4"
2794,58,0,1,122,"NonInfo","4"
2794,59,0,2,0,"NonInfo","4"
2794,60,0,2,0,"NonInfo","4"
5490,1,1,2,79,"Informative","1"
5490,2,1,1,0,"Informative","1"
5490,3,0,2,0,"Informative","1"
5490,4,0,2,0,"Informative","1"
5490,5,1,2,73,"Informative","1"
5490,6,1,1,0,"Informative","1"
5490,7,1,1,0,"Informative","1"
5490,8,0,2,0,"Informative","1"
5490,9,1,2,76,"Informative","1"
5490,10,1,1,0,"Informative","1"
5490,11,1,1,0,"Informative","1"
5490,12,1,1,0,"Informative","1"
5490,13,0,2,0,"Informative","1"
5490,14,1,1,0,"Informative","1"
5490,15,1,2,71,"Informative","1"
5490,16,1,2,76,"Informative","2"
5490,17,1,2,82,"Informative","2"
5490,18,1,2,75,"Informative","2"
5490,19,1,1,0,"Informative","2"
5490,20,1,2,73,"Informative","2"
5490,21,1,1,0,"Informative","2"
5490,22,1,2,72,"Informative","2"
5490,23,1,2,74,"Informative","2"
5490,24,1,1,0,"Informative","2"
5490,25,1,1,0,"Informative","2"
5490,26,0,2,0,"Informative","2"
5490,27,1,1,0,"Informative","2"
5490,28,1,2,79,"Informative","2"
5490,29,1,2,70,"Informative","2"
5490,30,1,1,0,"Informative","2"
5490,31,1,1,0,"Informative","3"
5490,32,1,2,88,"Informative","3"
5490,33,1,2,83,"Informative","3"
5490,34,1,1,0,"Informative","3"
5490,35,1,2,79,"Informative","3"
5490,36,1,2,80,"Informative","3"
5490,37,1,1,0,"Informative","3"
5490,38,1,1,0,"Informative","3"
5490,39,1,1,0,"Informative","3"
5490,40,1,2,81,"Informative","3"
5490,41,1,1,0,"Informative","3"
5490,42,1,1,0,"Informative","3"
5490,43,1,1,0,"Informative","3"
5490,44,1,1,0,"Informative","3"
5490,45,1,1,0,"Informative","3"
5490,46,1,2,90,"Informative","4"
5490,47,1,1,0,"Informative","4"
5490,48,1,2,89,"Informative","4"
5490,49,0,2,0,"Informative","4"
5490,50,1,2,86,"Informative","4"
5490,51,1,1,0,"Informative","4"
5490,52,1,1,0,"Informative","4"
5490,53,1,2,74,"Informative","4"
5490,54,1,1,0,"Informative","4"
5490,55,1,1,0,"Informative","4"
5490,56,1,1,0,"Informative","4"
5490,57,1,2,87,"Informative","4"
5490,58,1,1,0,"Informative","4"
5490,59,1,2,84,"Informative","4"
5490,60,1,2,81,"Informative","4"
5657,1,0,1,128,"NonInfo","1"
5657,2,1,1,0,"NonInfo","1"
5657,3,1,2,90,"NonInfo","1"
5657,4,0,2,0,"NonInfo","1"
5657,5,0,2,0,"NonInfo","1"
5657,6,1,2,79,"NonInfo","1"
5657,7,0,2,0,"NonInfo","1"
5657,8,1,2,86,"NonInfo","1"
5657,9,1,2,74,"NonInfo","1"
5657,10,0,1,128,"NonInfo","1"
5657,11,1,2,86,"NonInfo","1"
5657,12,0,1,113,"NonInfo","1"
5657,13,0,1,125,"NonInfo","1"
5657,14,1,2,89,"NonInfo","1"
5657,15,0,1,122,"NonInfo","1"
5657,16,0,1,122,"NonInfo","2"
5657,17,1,2,75,"NonInfo","2"
5657,18,0,1,126,"NonInfo","2"
5657,19,0,2,0,"NonInfo","2"
5657,20,1,2,75,"NonInfo","2"
5657,21,0,1,114,"NonInfo","2"
5657,22,0,1,121,"NonInfo","2"
5657,23,0,2,0,"NonInfo","2"
5657,24,1,1,0,"NonInfo","2"
5657,25,1,2,80,"NonInfo","2"
5657,26,0,1,128,"NonInfo","2"
5657,27,0,1,117,"NonInfo","2"
5657,28,1,2,75,"NonInfo","2"
5657,29,1,2,88,"NonInfo","2"
5657,30,0,2,0,"NonInfo","2"
5657,31,0,1,123,"NonInfo","3"
5657,32,1,2,90,"NonInfo","3"
5657,33,0,1,117,"NonInfo","3"
5657,34,0,2,0,"NonInfo","3"
5657,35,0,2,0,"NonInfo","3"
5657,36,0,2,0,"NonInfo","3"
5657,37,1,2,85,"NonInfo","3"
5657,38,0,2,0,"NonInfo","3"
5657,39,0,1,129,"NonInfo","3"
5657,40,0,2,0,"NonInfo","3"
5657,41,0,2,0,"NonInfo","3"
5657,42,0,2,0,"NonInfo","3"
5657,43,0,2,0,"NonInfo","3"
5657,44,0,2,0,"NonInfo","3"
5657,45,0,1,129,"NonInfo","3"
5657,46,0,2,0,"NonInfo","4"
5657,47,0,2,0,"NonInfo","4"
5657,48,0,1,117,"NonInfo","4"
5657,49,1,2,76,"NonInfo","4"
5657,50,0,2,0,"NonInfo","4"
5657,51,0,2,0,"NonInfo","4"
5657,52,1,2,81,"NonInfo","4"
5657,53,0,2,0,"NonInfo","4"
5657,54,0,1,117,"NonInfo","4"
5657,55,0,2,0,"NonInfo","4"
5657,56,1,1,0,"NonInfo","4"
5657,57,0,2,0,"NonInfo","4"
5657,58,0,2,0,"NonInfo","4"
5657,59,0,2,0,"NonInfo","4"
5657,60,0,2,0,"NonInfo","4"
6272,1,1,1,0,"NonInfo","1"
6272,2,1,1,0,"NonInfo","1"
